_uuid,submissiontime,caste,GPS,_gps_latitude,_gps_longitude,gender,age,ownership,property_type,education,occupation,issue_ranking1,issue_ranking2,issue_ranking3,issue_ranking4,issue_ranking5,issue_ranking6,tol,ward
150,2014-06-13T21:55:09,,27.74154 85.34295 0 0,27.72363,85.35033,female,36+,renter,,studied_some,homemaker,Water,Power,Sewage,Garbage,Road,Security,tol_name_shanti,ward_6
151,2014-06-14T20:39:28,,27.72659 85.35146 0 0,27.72659,85.35146,female,36+,renter,,slc,homemaker,Water,Power,Garbage,Sewage,Road,Security,tol_name_shanti,ward_6
152,2014-06-13T22:18:22,,27.69098 85.30783 0 0,27.72352,85.35033,female,26+,owner,built,slc,homemaker,Water,Sewage,Power,Security,Garbage,Road,tol_name_shanti,ward_6
153,2014-06-13T22:18:26,,27.71248 85.29568 0 0,27.72263,85.34977,female,26+,renter,,plus_two,homemaker,Power,Water,Garbage,Sewage,Security,Road,tol_name_shanti,ward_6
154,2014-06-13T22:18:28,,27.72609 85.35447 0 0,27.72609,85.35447,female,26+,renter,,never_studied,homemaker,Water,Power,Sewage,Garbage,Road,Security,tol_name_shanti,ward_6
155,2014-06-13T22:18:30,,27.72706 85.35474 0 0,27.72706,85.35474,female,26+,renter,,slc,homemaker,Water,Garbage,Power,Security,Sewage,Road,tol_name_saraswati,ward_6
156,2014-06-13T22:18:33,,27.72609 85.35448 0 0,27.72609,85.35448,female,26+,renter,,studied_some,homemaker,Power,Garbage,Water,Security,Sewage,Road,tol_name_shanti,ward_6
157,2014-06-13T22:30:45,,27.72432 85.35459 0 0,27.72432,85.35459,female,26+,owner,built,slc,homemaker,Water,Power,Road,Sewage,Garbage,Security,tol_name_shanti,ward_6
158,2014-06-13T22:30:46,,27.72307 85.35055 0 0,27.72307,85.35055,female,26+,renter,,slc,homemaker,Power,Water,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
159,2014-06-13T22:30:48,,27.74148 85.3429 0 0,27.72772,85.35751,female,26+,owner,built,slc,homemaker,Water,Power,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
160,2014-06-13T22:30:50,,27.70911 85.33567 0 0,27.70911,85.33567,female,26+,owner,built,slc,homemaker,Power,Water,Garbage,Sewage,Road,Security,tol_name_rudra,ward_33
161,2014-06-13T22:30:51,,27.72584 85.35424 0 0,27.72584,85.35424,female,26+,renter,,studied_some,homemaker,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
162,2014-06-13T22:30:53,,27.72337 85.35174 0 0,27.72337,85.35174,female,26+,renter,Don't Know/Can't Say,homemaker,Garbage,Water,Power,Road,Security,Sewage,tol_name_saraswati,ward_6,
163,2014-06-13T22:42:12,,27.7299 85.35669 0 0,27.7299,85.35669,female,26+,renter,,never_studied,homemaker,NA,Water,Power,NA,NA,NA,tol_name_shanti,ward_6
164,2014-06-13T22:42:13,,27.72401 85.35309 0 0,27.72401,85.35309,male,26+,renter,Other,homemaker,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6,
165,2014-06-13T22:42:15,,27.72505 85.35532 0 0,27.72505,85.35532,female,26+,renter,,plus_two,homemaker,Power,Sewage,Road,Garbage,Security,Water,tol_name_saraswati,ward_6
166,2014-06-13T22:42:17,,27.72527 85.35357 0 0,27.72527,85.35357,female,26+,renter,,slc,homemaker,Power,Garbage,Road,Sewage,Security,Water,tol_name_saraswati,ward_6
167,2014-06-13T22:42:18,,27.71994 85.35133 0 0,27.71994,85.35133,female,26+,renter,,slc,homemaker,Water,Garbage,Road,Power,Security,Sewage,tol_name_saraswati,ward_6
168,2014-06-13T22:42:20,,27.72401 85.35678 0 0,27.72401,85.35678,female,26+,owner,ancestral,plus_two,homemaker,Water,Road,Garbage,Power,Sewage,Security,tol_name_shanti,ward_6
169,2014-06-13T22:56:15,,27.71986 85.35138 0 0,27.71986,85.35138,female,26+,renter,,never_studied,homemaker,Water,Power,Garbage,Road,Security,Sewage,tol_name_saraswati,ward_6
170,2014-06-11T14:41:29,,27.7248 85.35093 0 0,27.7248,85.35093,female,26+,renter,,studied_some,homemaker,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
171,2014-06-13T22:56:18,,27.72307 85.35074 0 0,27.72307,85.35074,female,26+,renter,,studied_some,homemaker,Water,Garbage,NA,NA,NA,NA,tol_name_saraswati,ward_6
172,2014-06-13T22:56:20,,27.72891 85.35641 0 0,27.72891,85.35641,female,26+,renter,,never_studied,homemaker,Water,Power,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
173,2014-06-13T22:56:21,,27.72713 85.35714 0 0,27.72713,85.35714,female,26+,renter,,slc,homemaker,Power,Garbage,Road,Water,Sewage,Security,tol_name_saraswati,ward_6
174,2014-06-13T22:56:23,,27.7273 85.35655 0 0,27.7273,85.35655,female,26+,renter,,studied_some,homemaker,Water,NA,NA,NA,NA,NA,tol_name_shanti,ward_6
175,2014-06-13T23:09:45,,27.7085 85.33588 0 0,27.7277,85.35733,female,26+,renter,,bachelors,homemaker,Power,Garbage,Road,Sewage,Water,Security,tol_name_rudra,ward_33
176,2014-06-13T23:09:48,,27.72893 85.35699 0 0,27.72893,85.35699,female,18+,renter,,plus_two,homemaker,NA,Power,Garbage,NA,NA,Road,tol_name_saraswati,ward_6
177,2014-06-12T17:03:30,,27.72588 85.35746 0 0,27.72588,85.35746,female,18+,renter,Don't Know/Can't Say,homemaker,Power,Water,NA,NA,NA,NA,tol_name_shanti,ward_6,
178,2014-06-13T23:09:52,,27.72632 85.3539 0 0,27.72632,85.3539,male,18+,owner,built,plus_two,homemaker,Water,Power,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
179,2014-06-15T16:02:23,,27.72531 85.35503 0 0,27.72531,85.35503,female,18+,renter,,bachelors,homemaker,Garbage,Security,Sewage,Road,Water,Power,tol_name_saraswati,ward_6
180,2014-06-15T16:26:19,,27.72608 85.35446 0 0,27.72608,85.35446,male,18+,owner,,bachelors,homemaker,Power,Water,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
181,2014-06-15T16:02:12,,27.72631 85.35438 0 0,27.72631,85.35438,male,56+,owner,built,never_studied,ngo,Road,Garbage,Security,Water,Power,Sewage,tol_name_saraswati,ward_6
182,2014-06-15T13:53:46,,27.70604 85.33866 0 0,27.70604,85.33866,male,56+,renter,,never_studied,ngo,Water,Garbage,Security,Road,Power,Sewage,tol_name_shanti,ward_6
183,2014-06-15T13:53:47,,27.68739 85.30378 0 0,27.72764,85.35726,male,46+,renter,,bachelors,ngo,Power,Water,Security,Sewage,Road,Garbage,tol_name_shanti,ward_6
184,2014-06-14T06:35:13,,27.65153 85.29164 0 0,27.72806,85.72806,female,46+,owner,built,plus_two,ngo,Power,Road,Water,Sewage,Security,Garbage,tol_name_shanti,ward_6
185,2014-06-14T06:35:15,,27.72242 85.35498 0 0,27.72242,85.35498,male,46+,owner,,bachelors,ngo,Water,Power,Garbage,Security,Sewage,Road,tol_name_shanti,ward_6
186,2014-06-14T06:35:16,,27.74148 85.34292 0 0,27.72803,85.35779,male,46+,owner,built,bachelors,ngo,Water,Garbage,Power,Road,Sewage,Security,tol_name_shanti,ward_6
187,2014-06-14T06:35:18,,27.72416 85.35681 0 0,27.72416,85.35681,female,46+,owner,built,never_studied,ngo,Garbage,Power,Water,Sewage,Security,Road,tol_name_saraswati,ward_6
188,2014-06-14T06:35:20,,27.65153 85.29164 0 0,27.72755,85.3572,male,46+,owner,built,plus_two,ngo,Road,Garbage,Security,Power,Water,Sewage,tol_name_shanti,ward_6
189,2014-06-14T06:35:21,,27.7177 85.35901 0 0,27.7177,85.35901,male,36+,owner,ancestral,masters,ngo,Garbage,Road,Security,Power,Sewage,Water,tol_name_kumarigal,ward_6
190,2014-06-14T06:35:23,,27.72658 85.35701 0 0,27.72658,85.35701,male,26+,renter,,bachelors,ngo,Road,Sewage,Garbage,Power,Water,Security,tol_name_shanti,ward_6
191,2014-06-14T06:35:25,,27.74167 85.34295 0 0,27.72744,85.35712,male,26+,renter,,bachelors,ngo,Water,Garbage,Sewage,Security,Road,Power,tol_name_shanti,ward_6
192,2014-06-15T14:10:39,,27.72512 85.35575 0 0,27.72512,85.35575,male,26+,renter,,bachelors,ngo,Power,Garbage,Road,Water,Sewage,Security,tol_name_shanti,ward_6
193,2014-06-15T14:10:41,,27.72684 85.35478 0 0,27.72684,85.35478,female,26+,renter,,plus_two,ngo,NA,NA,NA,NA,NA,NA,tol_name_saraswati,ward_6
194,2014-06-15T14:10:42,,27.72744 85.36196 0 0,27.72744,85.36196,male,18+,renter,,bachelors,ngo,Power,Water,Road,Sewage,Security,Garbage,tol_name_saraswati,ward_6
195,2014-06-15T14:10:44,,27.72248 85.34908 0 0,27.72248,85.34908,male,56+,owner,built,bachelors,unemployed,Power,Water,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
196,2014-06-15T14:10:45,,27.68752 85.32839 0 0,27.72702,85.3562,male,26+,renter,,masters,unemployed,Power,Water,Garbage,Security,Sewage,Road,tol_name_rudra,ward_33
197,2014-06-12T16:10:03,,27.72964 85.35452 0 0,27.72964,85.35452,male,26+,renter,,slc,unemployed,Water,Garbage,Road,Security,Sewage,Power,tol_name_saraswati,ward_6
198,2014-06-15T14:26:59,,27.72401 85.35662 0 0,27.72401,85.35662,male,18+,renter,,plus_two,unemployed,NA,NA,NA,NA,NA,NA,tol_name_shanti,ward_6
199,2014-06-15T14:27:00,,27.62789 85.35576 0 0,27.72664,85.35576,male,18+,renter,,bachelors,unemployed,Road,Sewage,Garbage,Power,Water,Security,tol_name_shanti,ward_6
200,2014-06-15T14:27:02,,27.72666 85.3568 0 0,27.72666,85.3568,male,66+,owner,OtherOther,Garbage,Water,Power,Sewage,Road,Security,tol_name_saraswati,ward_6,,
201,2014-06-12T16:12:55,,27.72636 85.35824 0 0,27.72636,85.35824,female,46+,owner,built,slcOther,Power,Water,Garbage,Road,Security,Sewage,tol_name_saraswati,ward_6,
202,2014-06-15T14:27:06,,27.72547 85.35792 0 0,27.72547,85.35792,male,46+,owner,,plus_twoOther,Power,Security,Water,Garbage,Road,Sewage,tol_name_shanti,ward_6,
203,2014-06-15T14:27:08,,27.72698 85.36446 0 0,27.72698,85.36446,male,46+,renter,,never_studiedOther,Sewage,Water,Power,Garbage,Road,Security,tol_name_saraswati,ward_6,
204,2014-06-15T14:27:09,,27.72352 85.35082 0 0,27.72352,85.35082,male,46+,renter,OtherOther,Power,Garbage,Sewage,Road,Security,Water,tol_name_saraswati,ward_6,,
205,2014-06-11T15:07:24,,27.71248 85.29568 0 0,27.72796,85.35852,male,36+,renter,,mastersOther,Water,Power,Security,Sewage,Road,Garbage,tol_name_shanti,ward_6,
206,2014-06-15T14:51:28,,27.72614 85.35795 0 0,27.72614,85.35795,male,26+,renter,,never_studiedOther,Security,Garbage,Sewage,Road,Water,Power,tol_name_shanti,ward_6,
207,2014-06-15T14:51:32,,27.7233 85.35041 0 0,27.7233,85.35041,male,26+,renter,,mastersOther,Water,Security,Power,Garbage,Sewage,Road,tol_name_saraswati,ward_6,
208,2014-06-15T08:04:05,,27.73279 85.35754 0 0,27.73279,85.35754,male,18+,renter,,studied_someOther,Security,Power,Sewage,Road,Water,Garbage,tol_name_saraswati,ward_6,
209,2014-06-15T14:10:50,,27.72116 85.35751 0 0,27.72116,85.35751,female,18+Don't Know/Can't Say,,never_studiedOther,Water,Garbage,Power,Road,Sewage,Security,tol_name_saraswati,ward_6,,
210,2014-06-15T14:51:42,,27.72245 85.34895 0 0,27.72245,85.34895,male,18+,renter,,bachelorsOther,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6,
211,2014-06-15T14:51:43,,27.72515 85.35419 0 0,27.72515,85.35419,male,18+,owner,,plus_twoOther,Garbage,Power,Water,Road,Sewage,Security,tol_name_saraswati,ward_6,
212,2014-06-11T15:18:58, anya,27.70516 85.33214 0 0 ,27.72807,85.35849,male,18+,renter,,plus_two,student,Water,Power,Road,Sewage,Garbage,SecurityShastri Marg,ward_33,
213,2014-06-15T14:51:47, anya,27.70516 85.33214 0 0,27.72813,85.3585,female,18+,renter,,bachelors,student,Road,Garbage,Sewage,Security,Power,WaterShastri Marg,ward_33,
214,2014-06-15T14:51:50, anya,27.70533 85.33253 0 0,27.72871,85.35887,female,18+,renter,,masters,student,Water,Road,Sewage,Garbage,Power,SecurityShastri Marg,ward_33,
215,2014-06-15T14:51:52, anya,27.71022 85.33372 0 0,27.71022,85.33372,female,36+,renter,,never_studied,homemaker,Security,Sewage,Garbage,Road,Power,Water,tol_name_gyan,ward_33
216,2014-06-15T14:51:36, anya,27.70586 85.33261 0 0,27.72863,85.35872,male,36+,owner,built,masters,ngo,Water,Power,Garbage,Sewage,Road,SecurityShastri Marg,ward_33,
217,2014-06-15T15:07:55, anya,27.7096 85.3341 0 0,27.72833,85.35835,male,26+,renter,,plus_two,ngo,Power,Road,Water,Garbage,Security,Sewage,tol_name_gyan,ward_33
218,2014-06-11T15:23:15, anya,27.70521 85.33198 0 0,27.728,85.35774,female,26+,owner,ancestral,masters,ngo,Power,Road,Water,Sewage,Garbage,SecurityShastri Marg,ward_33,
219,2014-06-14T13:26:49, Other,27.72352 85.35082 0 0,27.72352,85.35082,female,46+,renter,,never_studied,business,Power,Garbage,NA,NA,NA,NA,tol_name_saraswati,ward_6
220,2014-06-14T13:26:51, Other,27.72248 85.34908 0 0,27.72248,85.34908,male,36+,renter,Other,business,Power,Road,Sewage,Security,Water,Garbage,tol_name_saraswati,ward_6,
221,2014-06-14T13:26:53, Other,27.7231 85.38419 0 0,27.7231,85.38419,female,36+,renter,,slc,business,Power,Water,Security,Road,Sewage,Garbage,tol_name_shanti,ward_6
222,2014-06-14T13:26:54, Other,27.72699 85.35703 0 0,27.72699,85.35703,male,26+,renter,Other,business,Water,Power,Garbage,Security,Road,Sewage,tol_name_saraswati,ward_6,
223,2014-06-15T15:08:04, Other,27.72251 85.34888 0 0,27.72251,85.34888,male,26+,renter,,studied_some,business,Power,Water,Garbage,Road,Security,Sewage,tol_name_saraswati,ward_6
224,2014-06-15T15:08:06, Other,27.72311 85.351 0 0,27.72311,85.351,female,18+,renter,,bachelors,student,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
225,2014-06-12T16:18:44, Other,,,,male,18+,renter,,plus_two,student,Road,Water,Power,Garbage,Security,Sewage,tol_name_shanti,ward_6
226,2014-06-15T15:08:09, Other,27.70888 85.33612 0 0,27.70888,85.33612,male,36+,renter,,masters,ngo,Water,Security,Power,Road,Sewage,Garbage,tol_name_rudra,ward_33
227,2014-06-15T15:17:49,Adivasi/Janajati,27.70566 85.33189 0 0,27.70566,85.33189,male,66+,owner,built,bachelors,retired,NA,NA,NA,NA,NA,WaterShastri Marg,ward_33,
228,2014-06-15T15:17:51,Adivasi/Janajati,27.72279 85.35311 0 0,27.72279,85.35311,male,56+,renter,,studied_some,retired,Power,Sewage,Road,Water,NA,Garbage,tol_name_saraswati,ward_6
229,2014-06-15T15:17:52,Adivasi/Janajati,27.7249 85.35569 0 0,27.7249,85.35569,male,26+,renter,,bachelors,retired,Water,Power,Road,Garbage,Security,Sewage,tol_name_shanti,ward_6
230,2014-06-15T15:17:54,Adivasi/Janajati,27.72592 85.35782 0 0,27.72592,85.35782,male,36+,renter,,studied_some,labourer,Water,Garbage,Power,Road,Sewage,Security,tol_name_shanti,ward_6
231,2014-06-15T15:17:59,Adivasi/Janajati,27.72869 85.35991 0 0,27.72869,85.35991,female,26+,renter,,studied_some,labourer,Power,Water,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
232,2014-06-15T15:18:00,Adivasi/Janajati,27.43565 85.92436 0 0,27.72769,85.3578,male,26+,renter,,studied_some,labourer,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
233,2014-06-15T15:18:02,Adivasi/Janajati,27.72669 85.3522 0 0,27.72669,85.3522,female,66+,renter,,never_studied,business,Garbage,Power,Water,Road,Sewage,Security,tol_name_saraswati,ward_6
234,2014-06-15T15:18:03,Adivasi/Janajati,27.72683 85.35479 0 0,27.72683,85.35479,male,46+,owner,built,slc,business,Garbage,Power,Sewage,Road,Water,Security,tol_name_saraswati,ward_6
235,2014-06-15T15:18:05,Adivasi/Janajati,27.72366 85.35393 0 0,27.72366,85.35393,male,36+,renter,,studied_some,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
236,2014-06-15T15:18:36,Adivasi/Janajati,27.72627 85.35457 0 0,27.72627,85.35457,female,36+,renter,,slc,business,Water,Garbage,Power,Road,Security,Sewage,tol_name_saraswati,ward_6
237,2014-06-14T18:46:15,Adivasi/Janajati,27.72667 85.35474 0 0,27.72667,85.35474,male,36+,renter,,studied_some,business,Power,Water,Garbage,Security,Road,Sewage,tol_name_saraswati,ward_6
238,2014-06-12T16:21:29,Adivasi/Janajati,27.72214 85.36217 0 0,27.72214,85.36217,female,36+Other,,slc,business,Power,Garbage,Road,Sewage,Water,Security,tol_name_saraswati,ward_6,
239,2014-06-14T18:46:24,Adivasi/Janajati,27.72406 85.35337 0 0,27.72406,85.35337,male,36+,renter,,plus_two,business,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
240,2014-06-14T18:46:27,Adivasi/Janajati,27.72239 85.34977 0 0,27.72239,85.34977,male,26+,renter,,plus_two,business,Power,Garbage,Sewage,Security,Road,Water,tol_name_saraswati,ward_6
241,2014-06-14T18:46:30,Adivasi/Janajati,27.72722 85.35611 0 0,27.72722,85.35611,female,26+,renter,,bachelors,business,Garbage,Power,Water,Sewage,Road,Security,tol_name_saraswati,ward_6
242,2014-06-14T18:46:34,Adivasi/Janajati,27.72193 85.34732 0 0,27.72193,85.34732,male,26+,renter,,bachelors,business,Sewage,Garbage,Water,Power,Road,Security,tol_name_saraswati,ward_6
243,2014-06-14T19:25:54,Adivasi/Janajati,27.72609 85.35588 0 0,27.72609,85.35588,female,26+,renter,,studied_some,business,Water,Road,Garbage,Power,Sewage,Security,tol_name_shanti,ward_6
244,2014-06-14T19:27:16,Adivasi/Janajati,27.7238 85.35037 0 0,27.72388,85.35037,female,26+,renter,Other,business,Power,Water,Garbage,Road,Security,Sewage,tol_name_saraswati,ward_6,
245,2014-06-14T19:27:20,Adivasi/Janajati,27.72342 85.35226 0 0,27.72342,85.35226,male,26+,renter,Other,business,Water,Power,Road,Security,Sewage,Garbage,tol_name_saraswati,ward_6,
246,2014-06-14T19:27:22,Adivasi/Janajati,27.72501 85.35612 0 0,27.72501,85.35612,female,26+,renter,,masters,business,Water,Power,Garbage,Security,Sewage,Road,tol_name_saraswati,ward_6
247,2014-06-14T19:27:24,Adivasi/Janajati,27.7286 85.35998 0 0,27.7286,85.35998,female,26+,renter,,studied_some,business,Security,Road,Water,Garbage,Power,Sewage,tol_name_shanti,ward_6
248,2014-06-14T19:27:28,Adivasi/Janajati,27.72075 85.35024 0 0,27.72075,85.35024,female,26+,renter,,studied_some,business,Water,Garbage,Power,Road,Sewage,Security,tol_name_saraswati,ward_6
249,2014-06-14T19:27:31,Adivasi/Janajati,27.72839 85.36585 0 0,27.72839,85.36585,female,18+,renter,,slc,business,Garbage,Water,Power,Sewage,Road,Security,tol_name_shanti,ward_6
250,2014-06-14T19:27:33,Adivasi/Janajati,27.72512 85.35575 0 0,27.72512,85.35575,female,18+,renter,,slc,business,Power,Garbage,Water,Road,Sewage,Security,tol_name_shanti,ward_6
251,2014-06-14T19:27:35,Adivasi/Janajati,27.72351 85.35337 0 0,27.72351,85.35337,female,18+,renter,,plus_two,business,Water,Power,Security,Garbage,Road,Sewage,tol_name_saraswati,ward_6
252,2014-06-14T19:27:37,Adivasi/Janajati,27.71975 85.35698 0 0,27.71975,85.35698,female,26+,owner,built,masters,student,Garbage,Power,Water,Road,Sewage,Security,tol_name_saraswati,ward_6
253,2014-06-14T19:27:39,Adivasi/Janajati,27.72378 85.35578 0 0,27.72378,85.35578,male,26+,renter,,masters,student,Road,Power,Garbage,NA,Sewage,Security,tol_name_shanti,ward_6
254,2014-06-14T19:27:42,Adivasi/Janajati,27.72839 85.36585 0 0,27.72839,85.36585,female,18+,renter,,plus_two,student,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
255,2014-06-12T16:25:39,Adivasi/Janajati,27.72593 85.35677 0 0,27.72593,85.35677,female,18+,renter,,plus_two,student,Garbage,Water,Power,Road,Sewage,Security,tol_name_shanti,ward_6
256,2014-06-14T19:27:46,Adivasi/Janajati,27.72491 85.35481 0 0,27.72491,85.35481,male,18+,renter,,plus_two,student,Security,Road,Garbage,Sewage,Power,Water,tol_name_saraswati,ward_6
257,2014-06-14T19:37:58,Adivasi/Janajati,27.72521 85.35572 0 0,27.72521,85.35572,male,18+,renter,,plus_two,student,Power,Water,Road,Sewage,Garbage,Security,tol_name_saraswati,ward_6
258,2014-06-14T19:38:01,Adivasi/Janajati,27.72629 85.35839 0 0,27.72629,85.35839,male,18+,renter,,bachelors,student,Power,Road,Garbage,Water,Security,Sewage,tol_name_shanti,ward_6
259,2014-06-14T19:38:04,Adivasi/Janajati,27.72236 85.34943 0 0,27.72236,85.34943,male,18+,renter,,plus_two,student,Water,Garbage,Road,Power,Security,Sewage,tol_name_saraswati,ward_6
260,2014-06-14T19:38:08,Adivasi/Janajati,27.7287 85.36017 0 0,27.7287,85.36017,male,18+,renter,,bachelors,student,Water,NA,NA,Power,NA,Garbage,tol_name_shanti,ward_6
261,2014-06-12T16:33:25,Adivasi/Janajati,27.7054 85.3325 0 0 ,27.7054,85.3325,male,18+,renter,,bachelors,student,Power,Garbage,Road,Sewage,Security,WaterShastri Marg,ward_33,
262,2014-06-12T16:35:39,Adivasi/Janajati,27.43565 85.92436 0 0,27.7054,85.3325,female,18+,renter,,bachelors,student,Water,Road,Sewage,Security,Power,Garbage,tol_name_saraswati,ward_6
263,2014-06-12T16:36:48,Adivasi/Janajati,27.70582 85.33225 0 0,27.70582,85.33225,female,18+,renter,,plus_two,student,Water,Power,Garbage,Sewage,Road,SecurityShastri Marg,ward_33,
264,2014-06-12T16:38:23,Adivasi/Janajati,27.7287 85.36017 0 0,27.7287,85.36017,male,18+,renter,,plus_two,student,Garbage,Water,Sewage,Power,Road,Security,tol_name_shanti,ward_6
265,2014-06-12T16:40:21,Adivasi/Janajati,27.72729 85.35744 0 0,27.72729,85.35744,female,18+,renter,,plus_two,student,Power,Water,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
266,2014-06-12T16:41:54,Adivasi/Janajati,27.70546 85.3328 0 0,27.70546,85.3328,female,56+,renter,,slc,homemaker,Water,Power,Garbage,Sewage,Road,SecurityShastri Marg,ward_33,
267,2014-06-12T16:43:13,Adivasi/Janajati,27.72581 85.35317 0 0 ,27.72581,85.35317,female,56+,owner,built,slc,homemaker,Garbage,Road,Power,Security,Sewage,Water,tol_name_shanti,ward_6
268,2014-06-14T20:38:54,Adivasi/Janajati,27.72666 85.3568 0 0,27.72666,85.3568,female,56+,renter,Other,homemaker,Power,Garbage,Water,Road,Sewage,Security,tol_name_saraswati,ward_6,
269,2014-06-14T20:39:00,Adivasi/Janajati,27.72735 85.35643 0 0 ,27.72735,85.35643,female,46+,renter,,studied_some,homemaker,Water,Power,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
270,2014-06-12T16:48:30,Adivasi/Janajati,27.7198 85.35695 0 0,27.7198,85.35695,female,36+,renter,,never_studied,homemaker,Sewage,Water,Road,Power,NA,Security,tol_name_saraswati,ward_6
271,2014-06-14T20:39:08,Adivasi/Janajati,27.7238 27.7238 0 0,27.7238,85.35045,female,36+,owner,built,slc,homemaker,Power,Water,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
272,2014-06-14T20:39:12,Adivasi/Janajati,27.7238 85.9577 0 0,27.72668,85.35581,female,26+,renter,,bachelors,homemaker,Power,Road,Security,Sewage,Garbage,Water,tol_name_saraswati,ward_6
273,2014-06-14T20:39:15,Adivasi/Janajati,27.72388 85.35037 0 0,27.72388,85.35037,female,18+,renter,,never_studied,homemaker,Garbage,Water,Power,Road,Security,Sewage,tol_name_saraswati,ward_6
274,2014-06-12T16:51:30,Adivasi/Janajati,27.72177 85.34742 0 0,27.72177,85.34742,male,26+,renter,,slc,ngo,Power,Sewage,Road,Security,Water,Garbage,tol_name_saraswati,ward_6
275,2014-06-12T16:53:07,Adivasi/Janajati,27.72666 85.3568 0 0,27.72666,85.35578,male,26+,renter,,plus_two,ngo,Water,NA,Power,Garbage,Sewage,Security,tol_name_saraswati,ward_6
276,2014-06-12T16:54:00,Adivasi/Janajati,27.70944 85.33619 0 0 ,27.72615,85.35498,male,46+,owner,built,mastersOther,Power,Garbage,Water,Sewage,Road,Security,tol_name_rudra,ward_33,
277,2014-06-12T16:56:05,Adivasi/Janajati,27.7242 85.35497 0 0,27.7242,85.35497,male,26+,owner,,slcOther,Power,NA,NA,NA,NA,NA,tol_name_shanti,ward_6,
278,2014-06-12T16:58:05,Adivasi/Janajati,27.72667 85.35443 0 0,27.72667,85.35443,female,26+,renter,,slcOther,Water,Security,Power,Garbage,Road,Sewage,tol_name_saraswati,ward_6,
279,2014-06-12T16:58:40,Adivasi/Janajati,27.72477 85.35531 0 0,27.72477,85.35531,male,18+,renter,,plus_twoOther,Power,Garbage,Water,Road,Security,Sewage,tol_name_saraswati,ward_6,
280,2014-06-11T15:53:22,Adivasi/Janajati,27.7246 85.35445 0 0,27.7246,85.35445,female,18+,renter,,studied_someOther,Power,Garbage,Road,Security,Sewage,Water,tol_name_saraswati,ward_6,
281,2014-06-12T17:03:31,Kami/BK,27.71022 85.33372 0 0,27.71022,85.33372,female,26+,renter,,bachelors,professional,Power,Garbage,Road,Sewage,Security,Water,tol_name_gyan,ward_33
282,2014-06-12T17:03:33,Chhetri,27.70524 85.33229 0 0,27.72598,85.35498,female,46+,owner,built,bachelors,retired,Water,Garbage,Power,Road,Sewage,SecurityShastri Marg,ward_33,
283,2014-06-12T18:12:57,Chhetri,27.70605 85.33867 0 0,27.72593,85.35499,female,26+,renter,,slc,retired,Road,Water,Power,Garbage,Sewage,Security,tol_name_shanti,ward_6
284,2014-06-12T18:12:59,Chhetri,27.72782 85.35848 0 0,27.72782,85.35848,maleDon'tKnow/Can'tSay,owner,built,plus_two,government ,Power,Garbage,Sewage,Water,Road,Security,tol_name_shanti,ward_6,
285,2014-06-12T18:13:02,Chhetri,27.72725 85.35708 0 0,27.72725,85.35708,male,26+,renter,,plus_two,government ,Power,Garbage,Water,Sewage,Security,Road,tol_name_shanti,ward_6
286,2014-06-12T18:13:04,Chhetri,27.63909 85.35429 0 0,27.72569,85.35429,male,18+,renter,,slc,government ,Water,Power,Garbage,Sewage,Road,Security,tol_name_shanti,ward_6
287,2014-06-12T18:13:07,Chhetri,27.70935 85.33571 0 0,27.72447,85.35232,male,36+,renter,,studied_some,labourer,Road,Power,Water,Garbage,Sewage,Security,tol_name_rudra,ward_33
288,2014-06-12T18:13:08,Chhetri,27.72613 85.35475 0 0,27.72613,85.35475,female,26+,renter,,never_studied,labourer,Power,Water,Sewage,Road,Garbage,Security,tol_name_saraswati,ward_6
289,2014-06-12T18:13:10,Chhetri,27.70582 85.33197 0 0,27.70582,85.33197,male,26+,renter,,never_studied,labourer,Power,Water,Road,Garbage,Security,SewageShastri Marg,ward_33,
290,2014-06-12T18:13:12,Chhetri,27.72434 85.25619 0 0,27.72434,85.35216,male,18+,renter,,plus_two,labourer,NA,Power,Garbage,Sewage,Security,Water,tol_name_shanti,ward_6
